Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
17.4549641990291,312,1.50401548260594,Other
17.4649596480582,218,1.50401548260594,Other
17.4749550970874,89,1.54698735353754,Other
17.4849505461165,-61,1.64725505237794,Other
17.4949459951456,-195,1.80481857912713,Other
17.5049414441748,-345,2.03400189076232,Other
17.5149368932039,-483,2.32048103030631,Other
17.524932342233,-576,2.6499320407819,Other
17.5349277912621,-557,3.00803096521188,Other
17.5449232402913,-461,3.30883406173307,Other
17.5549186893204,-360,3.53801737336826,Other
17.5649141383495,-274,3.68125694314026,Other
17.5749095873786,-182,3.73855277104906,Other
17.5849050364078,-91,3.72422881407186,Other
17.5949004854369,-47,3.66693298616306,Other
17.604895934466,-57,3.56666528732266,Other
17.6148913834951,-119,3.48072154545947,Other
17.6248868325243,-187,3.40910176057347,COM-Above-Heal-Right
17.6348822815534,-210,3.35180593266467,Other
17.6448777305825,-184,3.30883406173307,Other
17.6548731796116,-152,3.23721427684707,Other
17.6648686286408,-146,3.13694657800668,Other
17.6748640776699,-159,2.99370700823468,Other
17.684859526699,-153,2.82181952450829,Other
17.6948549757282,-135,2.6069601698503,Other
17.7048504247573,-106,2.34912894426071,Other
17.7148458737864,-75,2.07697376169392,Other
17.7248413228155,-47,1.80481857912713,Other
17.7348367718447,-30,1.53266339656034,Other
17.7448322208738,-25,1.28915612794795,Other
17.7548276699029,-27,1.05997281631276,Other
17.764823118932,-34,0.873761375609166,Other
17.7748185679612,-30,0.687549934905573,Other
17.7848140169903,-17,0.51566245117918,Other
17.7948094660194,-1,0.358098924429986,Other
17.8048049150485,22,0.214859354657992,Other
17.8148003640777,40,0.0716197848859972,Other
17.8247958131068,55,-0.0429718709315983,Other
17.8347912621359,67,-0.143239569771994,Other
17.844786711165,71,-0.243507268612391,Other
17.8547821601942,65,-0.300803096521188,Other
17.8647776092233,54,-0.358098924429986,COM-Above-Toe-Right
17.8747730582524,43,-0.401070795361584,Other
17.8847685072815,34,-0.444042666293183,Other
17.8947639563107,27,-0.487014537224781,Other
17.9047594053398,17,-0.529986408156379,Other
17.9147548543689,5,-0.544310365133579,Other
17.9247503033981,17,-0.558634322110778,Other
17.9347457524272,54,-0.544310365133579,Other
17.9447412014563,94,-0.51566245117918,Other
17.9547366504854,96,-0.472690580247582,Other
17.9647320995146,79,-0.444042666293183,Other
17.9747275485437,71,-0.429718709315983,Other
17.9847229975728,77,-0.444042666293183,Other
17.9947184466019,112,-0.458366623270382,Other
18.0047138956311,149,-0.487014537224781,Other
18.0147093446602,170,-0.529986408156379,Other
18.0247047936893,179,-0.587282236065177,Other
18.0347002427184,180,-0.644578063973975,Other
18.0446956917476,196,-0.701873891882773,Other
18.0546911407767,205,-0.730521805837172,Other
18.0646865898058,176,-0.78781763374597,Other
18.0746820388349,97,-0.873761375609166,Other
18.0846774878641,-1,-1.01700094538116,Other
18.0946729368932,-118,-1.23186030003915,Other
18.1046683859223,-254,-1.50401548260594,Other
18.1146638349515,-381,-1.81914253610433,Other
18.1246592839806,-475,-2.17724146053432,Other
18.1346547330097,-518,-2.5496643419415,Other
18.1446501820388,-489,-2.86479139543989,Other
18.154645631068,-414,-3.12262262102948,Other
18.1646410800971,-325,-3.29451010475587,Other
18.1746365291262,-214,-3.38045384661907,Other
18.1846319781553,-117,-3.36612988964187,Other
18.1946274271845,-56,-3.29451010475587,Other
18.2046228762136,-28,-3.16559449196108,Toe-Off-Right
18.2146183252427,-28,-3.02235492218908,Other
18.2246137742718,-40,-2.85046743846269,Other
18.234609223301,-72,-2.6929039117135,Other
18.2446046723301,-110,-2.5496643419415,Other
18.2546001213592,-121,-2.42074872914671,Other
18.2645955703883,-134,-2.29183311635191,Other
18.2745910194175,-138,-2.16291750355712,Other
18.2845864684466,-113,-2.03400189076232,Other
18.2945819174757,-93,-1.87643836401313,Other
18.3045773665048,-86,-1.70455088028673,Other
18.314572815534,-82,-1.51833943958314,Other
18.3245682645631,-78,-1.30348008492515,Other
18.3345637135922,-62,-1.10294468724436,Other
18.3445591626214,-44,-0.902409289563565,Other
18.3545546116505,-32,-0.701873891882773,Other
18.3645500606796,-34,-0.529986408156379,Other
18.3745455097087,-22,-0.358098924429986,Other
18.3845409587379,9,-0.186211440703593,Other
18.394536407767,50,0.0,Other
18.4045318567961,74,0.200535397680792,Other
18.4145273058252,85,0.415394752338784,Other
18.4245227548544,79,0.630254106996776,Other
18.4345182038835,71,0.816465547700368,Other
18.4445136529126,80,0.974029074449562,Other
18.4545091019417,86,1.10294468724436,Other
18.4645045509709,85,1.21753634306195,Other
18.4745,76,1.30348008492515,Other
18.4844954490291,66,1.37509986981115,Other
18.4944908980582,66,1.43239569771994,Other
18.5044863470874,79,1.48969152562874,Other
18.5144817961165,99,1.51833943958314,Other
18.5244772451456,114,1.48969152562874,Other
18.5344726941748,111,1.43239569771994,Other
18.5444681432039,71,1.33212799887955,Other
18.554463592233,42,1.21753634306195,Other
18.5644590412621,22,1.08862073026716,Other
18.5744544902913,-4,0.959705117472363,Other
18.5844499393204,-43,0.873761375609166,Heal-Down-Right
18.5944453883495,-35,0.845113461654767,Other
18.6044408373786,24,0.902409289563565,Other
18.6144362864078,92,0.988353031426762,Other
18.6244317354369,144,1.10294468724436,Other
18.634427184466,209,1.23186030003915,Other
18.6444226334951,281,1.34645195585675,Other
18.6544180825243,317,1.44671965469714,Other
18.6644135315534,300,1.53266339656034,Other
18.6744089805825,241,1.60428318144634,Other
18.6844044296116,146,1.67590296633234,Other
18.6943998786408,-14,1.77617066517273,Other
18.7043953276699,-190,1.93373419192193,Other
18.714390776699,-297,2.16291750355712,Other
18.7243862257282,-377,2.44939664310111,Other
18.7343816747573,-378,2.79317161055389,Other
18.7443771237864,-366,3.15127053498388,Other
18.7543725728155,-366,3.43774967452787,Other
18.7643680218447,-345,3.60963715825426,Other
18.7743634708738,-293,3.68125694314026,Other
18.7843589199029,-203,3.70990485709466,Other
18.794354368932,-119,3.66693298616306,Other
18.8043498179612,-87,3.62396111523146,Other
18.8143452669903,-111,3.59531320127706,Other
18.8243407160194,-151,3.60963715825426,Other
18.8343361650485,-195,3.66693298616306,Other
18.8443316140777,-215,3.73855277104906,Other
18.8543270631068,-209,3.78152464198065,Other
18.8643225121359,-190,3.79584859895785,Other
18.874317961165,-176,3.78152464198065,Other
18.8843134101942,-187,3.72422881407186,Other
18.8943088592233,-198,3.65260902918586,Other
18.9043043082524,-191,3.53801737336826,Other
18.9142997572815,-162,3.42342571755067,Other
18.9242952063107,-119,3.29451010475587,Other
18.9342906553398,-75,3.15127053498388,Other
18.9442861043689,-43,2.97938305125748,Other
18.9542815533981,-29,2.82181952450829,Other
18.9642770024272,-22,2.6642559977591,Other
18.9742724514563,-17,2.5066924710099,Other
18.9842679004854,-14,2.37777685821511,Other
18.9942633495146,-24,2.24886124542031,COM-Above-Heal-Right
19.0042587985437,-22,2.14859354657992,Other
19.0142542475728,-20,2.01967793378512,Other
19.0242496966019,-4,1.93373419192193,Other
19.0342451456311,-1,1.84779045005873,Other
19.0442405946602,1,1.76184670819553,Other
19.0542360436893,1,1.66157900935514,Other
19.0642314927184,1,1.57563526749194,Other
19.0742269417476,5,1.50401548260594,Other
19.0842223907767,4,1.41807174074275,Other
19.0942178398058,18,1.33212799887955,COM-Above-Toe-Right
19.1042132888349,38,1.27483217097075,Other
19.1142087378641,74,1.21753634306195,Other
19.1242041868932,72,1.16024051515316,Other
19.1341996359223,65,1.11726864422156,Other
19.1441950849515,58,1.11726864422156,Other
19.1541905339806,83,1.11726864422156,Other
19.1641859830097,80,1.11726864422156,Other
19.1741814320388,91,1.11726864422156,Other
19.184176881068,93,1.11726864422156,Other
19.1941723300971,81,1.10294468724436,Other
19.2041677791262,73,1.07429677328996,Other
19.2141632281553,73,1.03132490235836,Other
19.2241586771845,76,0.988353031426762,Other
19.2341541262136,91,0.931057203517964,Other
19.2441495752427,99,0.845113461654767,Other
19.2541450242718,102,0.77349367676877,Other
19.264140473301,120,0.673225977928374,Other
19.2741359223301,140,0.572958279087978,Other
19.2841313713592,159,0.458366623270382,Other
19.2941268203883,153,0.343774967452787,Other
19.3041222694175,99,0.200535397680792,Other
19.3141177184466,32,0.0572958279087978,Other
19.3241131674757,-16,-0.0859437418631967,Other
19.3341086165048,-98,-0.272155182566789,Other
19.344104065534,-238,-0.501338494201981,Other
19.3540995145631,-329,-0.830789504677568,Other
19.3640949635922,-375,-1.26050821399355,Other
19.3740904126214,-465,-1.73319879424113,Other
19.3840858616505,-527,-2.17724146053432,Other
19.3940813106796,-497,-2.5066924710099,Other
19.4040767597087,-400,-2.72155182566789,Other
19.4140722087379,-288,-2.82181952450829,Other
19.424067657767,-195,-2.86479139543989,Other
19.4340631067961,-149,-2.85046743846269,Other
19.4440585558252,-134,-2.79317161055389,Other
19.4540540048544,-120,-2.73587578264509,Other
19.4640494538835,-117,-2.6929039117135,Other
19.4740449029126,-132,-2.6929039117135,Other
19.4840403519417,-158,-2.72155182566789,Other
19.4940358009709,-178,-2.77884765357669,Other
22.5026659587379,253,1.10294468724436,Other
22.512661407767,162,1.20321238608475,Other
22.5226568567961,-11,1.33212799887955,Other
22.5326523058252,-204,1.51833943958314,Other
22.5426477548544,-342,1.80481857912713,Other
22.5526432038835,-389,2.16291750355712,Other
22.5626386529126,-389,2.5496643419415,Other
22.5726341019417,-403,2.87911535241709,Other
22.5826295509709,-416,3.12262262102948,Other
22.592625,-373,3.29451010475587,Other
22.6026204490291,-290,3.38045384661907,Other
22.6126158980582,-208,3.40910176057347,Other
22.6226113470874,-156,3.40910176057347,Other
22.6326067961165,-133,3.39477780359627,Toe-Off-Left
22.6426022451456,-127,3.38045384661907,Other
22.6525976941748,-116,3.39477780359627,Other
22.6625931432039,-112,3.42342571755067,Other
22.672588592233,-126,3.49504550243666,Other
22.6825840412621,-153,3.58098924429986,Other
22.6925794902913,-184,3.63828507220866,Other
22.7025749393204,-209,3.65260902918586,Other
22.7125703883495,-220,3.63828507220866,Other
22.7225658373786,-204,3.59531320127706,Other
22.7325612864078,-179,3.50936945941386,Other
22.7425567354369,-163,3.39477780359627,Other
22.752552184466,-153,3.23721427684707,Other
22.7625476334951,-143,3.03667887916628,Other
22.7725430825243,-119,2.80749556753109,Other
22.7825385315534,-82,2.5783122558959,Other
22.7925339805825,-35,2.33480498728351,Other
22.8025294296116,7,2.11994563262552,Other
22.8125248786408,38,1.91941023494473,Other
